Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 30.12.2019 o godzinie 19:50:2:837.
Program zakonczyl dzialanie o 30.12.2019 o godzinie 19:50:2:883.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 46 milisekund, 395 mikrosekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku pan-tadeusz.txt znaleziono 69053 slow, w tym 18795 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie posortowany alfabetycznie
oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|______________________________________________|_______________________________________|
|1812__________________________________________|1______________________________________|
|1860__________________________________________|1______________________________________|
|30____________________________________________|1______________________________________|
|a_____________________________________________|555____________________________________|
|absolucj~~____________________________________|1______________________________________|
|aby___________________________________________|24_____________________________________|
|abym__________________________________________|3______________________________________|
|aby~~_________________________________________|2______________________________________|
|ach___________________________________________|22_____________________________________|
|adam__________________________________________|2______________________________________|
|adama_________________________________________|4______________________________________|
|adiutant______________________________________|1______________________________________|
|administracj~~________________________________|1______________________________________|
|adwokacki_____________________________________|1______________________________________|
|adwokatem_____________________________________|1______________________________________|
|afekt_________________________________________|1______________________________________|
|afekty________________________________________|1______________________________________|
|afekt~~w______________________________________|1______________________________________|
|afirmatyw~~___________________________________|1______________________________________|
|agnieszka_____________________________________|1______________________________________|
|agrestowe_____________________________________|1______________________________________|
|agrestu_______________________________________|1______________________________________|
|agre~~cie_____________________________________|1______________________________________|
|aha___________________________________________|1______________________________________|
|aj____________________________________________|2______________________________________|
|akademii______________________________________|1______________________________________|
|akord_________________________________________|3______________________________________|
|akordy________________________________________|1______________________________________|
|akord~~w______________________________________|1______________________________________|
|aksamit_______________________________________|2______________________________________|
|aksamitne_____________________________________|1______________________________________|
|akt___________________________________________|3______________________________________|
|akta__________________________________________|2______________________________________|
|aktach________________________________________|1______________________________________|
|aktami________________________________________|1______________________________________|
|aktory________________________________________|1______________________________________|
|akt~~w________________________________________|1______________________________________|
|alabastrowymi_________________________________|1______________________________________|
|albo__________________________________________|59_____________________________________|
|album_________________________________________|1______________________________________|
|ale___________________________________________|172____________________________________|
|aleksander____________________________________|1______________________________________|
|aleksandra____________________________________|1______________________________________|
|alem__________________________________________|2______________________________________|
|aliis_________________________________________|1______________________________________|
|ali~~_________________________________________|2______________________________________|
|alkowie_______________________________________|2______________________________________|
|alkowy________________________________________|4______________________________________|
|alk~~wek______________________________________|1______________________________________|
|aloes_________________________________________|1______________________________________|
|aloesy________________________________________|1______________________________________|
|alp~~w________________________________________|1______________________________________|
|alteracji_____________________________________|1______________________________________|
|alternat~~____________________________________|1______________________________________|
|aluzyja_______________________________________|1______________________________________|
|amaltei_______________________________________|2______________________________________|
|ambarasy______________________________________|1______________________________________|
|ambonie_______________________________________|2______________________________________|
|ambonie~~~____________________________________|1______________________________________|
|amen~~________________________________________|1______________________________________|
|anegdot_______________________________________|1______________________________________|
|anegdota______________________________________|2______________________________________|
|angielskiego__________________________________|1______________________________________|
|angielskiej___________________________________|1______________________________________|
|angielskim____________________________________|1______________________________________|
|angielsku_____________________________________|1______________________________________|
|angielsk~~____________________________________|1______________________________________|
|anglii________________________________________|1______________________________________|
|anglik~~w_____________________________________|1______________________________________|
|ani___________________________________________|45_____________________________________|
|aniby_________________________________________|1______________________________________|
|anieli________________________________________|2______________________________________|
|anielski______________________________________|2______________________________________|
|anio~~________________________________________|4______________________________________|
|anio~~a_______________________________________|1______________________________________|
|ani~~eli______________________________________|2______________________________________|
|anna__________________________________________|2______________________________________|
|ansamblu______________________________________|1______________________________________|
|anta~~y_______________________________________|1______________________________________|
|antenat~~w____________________________________|1______________________________________|
|apel__________________________________________|1______________________________________|
|apelujcie_____________________________________|1______________________________________|
|apetytem______________________________________|1______________________________________|
|aplauzem______________________________________|1______________________________________|
|apteczce______________________________________|1______________________________________|
|apteka________________________________________|1______________________________________|
|arbitr~~w_____________________________________|1______________________________________|
|arce__________________________________________|1______________________________________|
|archanio~~____________________________________|1______________________________________|
|architekt_____________________________________|1______________________________________|
|architektury__________________________________|2______________________________________|
|architekt~~w__________________________________|1______________________________________|
|arcydzie~~o___________________________________|1______________________________________|
|arcyserwis____________________________________|1______________________________________|
|arendarz______________________________________|2______________________________________|
|arendzie______________________________________|1______________________________________|
|areszt________________________________________|3______________________________________|
|arfy__________________________________________|2______________________________________|
|arkas~~w______________________________________|1______________________________________|
|arkusza_______________________________________|1______________________________________|
|armatach______________________________________|1______________________________________|
|armatami______________________________________|1______________________________________|
|armatek_______________________________________|1______________________________________|
|armatur~~_____________________________________|1______________________________________|
